Site Id,Site Name,Status,Remediation Status,Type of Contamination,X Coord,Y Coord
5201,Egestas LLC,Clear,NA,NA,408881,544329
5202,Elementum Sem Associates,Clear,NA,NA,426281,528325
5203,Mollis Consulting,Clear,NA,NA,409354,519481
5205,Cursus Limited,Clear,NA,NA,423504,502783
5206,Posuere Incorporated,Clear,NA,NA,405371,560044
5207,Ullamcorper Limited,Clear,NA,NA,420659,511236
5208,Nec Eleifend Limited,Clear,NA,NA,439087,551679
5209,Lectus LLP,Clear,NA,NA,419107,570759
5210,Sed Dolor Associates,Clear,NA,NA,427804,520722
5211,Orci Consectetuer Euismod Institute,DEP case,In Progress,Known Source or Release with GW Contamination ,460682,529285
5212,Nisl Nulla Associates,Clear,NA,NA,423593,520904
5213,At Velit Pellentesque Corp.,Clear,NA,NA,471604,499448
5214,Aenean Eget LLC,Clear,NA,NA,425486,520716
5216,Risus Varius Foundation,Clear,NA,NA,415761,572842
5217,At Nisi LLC,Clear,NA,NA,388373,536091
5218,Et Magnis Dis Incorporated,Clear,NA,NA,415373,516112
5219,Dapibus Company,DEP case,In Progress,Source Known or Identified-Potential GW Contamination established ,416009,529414
5220,Metus Aenean Sed Industries,Clear,NA,NA,423429,520959
5221,Tincidunt Vehicula Institute,Clear,NA,NA,417231,508466
5222,Gravida Institute,Clear,NA,NA,412346,522762
5223,Quisque Associates,Clear,NA,NA,421217,551211
5225,Lorem Company,Clear,NA,NA,439773,506617
5226,Nullam Nisl Maecenas Incorporated,Clear,NA,NA,422014,521127
5228,Libero Proin Mi Inc.,DEP case,In Progress,Known Source or Release with GW Contamination ,414253,516209
5229,Dis Parturient Montes Foundation,Clear,NA,NA,433341,509945
5231,Dolor Nulla Semper Inc.,Clear,NA,NA,446581,551986
5233,Sapien Gravida Non Associates,DEP case,In Progress,Single Contamination Affecting Only Soils ,430463,520767
5235,Praesent Corp.,Clear,NA,NA,444526,551675
5236,Nec Urna Suscipit Limited,DEP case,Not started,Known Source or Release with GW Contamination ,441976,518782
5237,Turpis Non Enim PC,Clear,NA,NA,457620,496683
5239,Mauris Consulting,Clear,NA,NA,412896,559285
5240,Sed Orci Lobortis Corporation,Clear,NA,NA,393793,547013
5241,Ridiculus Institute,Clear,NA,NA,413312,509285
5245,Orci Adipiscing Non Corp.,Clear,NA,NA,744011,401208
5246,Nonummy Ut Molestie Limited,Clear,NA,NA,487214,523992
5247,In At LLC,DEP case,In Progress,Known Source or Release with GW Contamination ,428540,512480
5248,Eget Magna Suspendisse Company,Clear,NA,NA,452397,557584
5250,Dignissim Magna A Corp.,Clear,NA,NA,385916,538437
5251,Donec Porttitor Ltd,Clear,NA,NA,429619,519948
5252,Imperdiet Incorporated,DEP case,In Progress,Known Source or Release with GW Contamination ,411988,537123
5254,Vitae Odio Incorporated,Clear,NA,NA,417480,507169
5256,Bibendum Associates,Clear,NA,NA,487266,522809
5257,Hendrerit A Ltd,Clear,NA,NA,427863,551186
5258,Nisl Maecenas Consulting,Clear,NA,NA,415878,537321
5259,Eget Corporation,Clear,NA,NA,433333,523639
5261,Donec Tempus Lorem PC,Clear,NA,NA,421402,571601
5262,Aliquam Associates,Clear,NA,NA,415840,509908
5263,Mauris Ut Company,Clear,NA,NA,483894,521867
5264,Vestibulum Accumsan Neque Ltd,Clear,NA,NA,429654,521439
5266,Sed Nulla Ante Foundation,Clear,NA,NA,421928,507580
5267,Vestibulum Accumsan Industries,Clear,NA,NA,451653,554072
5268,Metus Aliquam Erat Inc.,Clear,NA,NA,425740,502965
5269,Nec Ante Maecenas Industries,Clear,NA,NA,435197,533142
5271,A Consulting,Clear,NA,NA,459697,477499
5272,Lectus Quis Massa Foundation,Clear,NA,NA,453414,545651
5273,Sed Hendrerit A Limited,Clear,NA,NA,483283,521456
5274,Non Leo Corporation,Clear,NA,NA,424252,508959
5276,Congue Limited,Clear,NA,NA,420744,554851
5277,Conubia Nostra Institute,Clear,NA,NA,490345,523283
5278,Aliquet Lobortis Nisi Institute,Clear,NA,NA,443982,526009
5279,Non Incorporated,Clear,NA,NA,419554,544074
5282,Lorem Fringilla Ornare Consulting,Clear,NA,NA,419232,567646
5283,Magna A Foundation,Clear,NA,NA,416161,524433
5284,Et Ultrices Posuere Institute,Clear,NA,NA,426427,519925
5285,Rhoncus Proin Ltd,Clear,NA,NA,403768,520125
5287,Nec Orci Donec Ltd,Clear,NA,NA,426708,523087
5288,Sit Amet Incorporated,Clear,NA,NA,420347,506685
5289,Mi Enim Company,Clear,NA,NA,403212,521921
5290,Tincidunt LLC,Clear,NA,NA,480605,523838
5291,Purus Sapien Gravida Incorporated,Clear,NA,NA,427149,509661
5292,Eleifend Institute,Clear,NA,NA,422791,497529
5293,Nec Institute,Clear,NA,NA,415997,510282
5294,Nullam Enim Ltd,Clear,NA,NA,424421,509744
5295,Dictum Proin Eget Corp.,Clear,NA,NA,447243,556856
5296,Felis Orci Adipiscing Limited,Clear,NA,NA,411779,543813
5297,Risus In Mi Ltd,Clear,NA,NA,415219,510645
5300,Vestibulum Limited,Clear,NA,NA,423841,505280
5301,Duis PC,Clear,NA,NA,422925,511078
5302,Mauris Blandit Mattis Consulting,Clear,NA,NA,427439,517835
5303,Amet Institute,DEP case,In Progress,Known Source or Release with GW Contamination,476418,517393
5304,Pede Institute,Clear,NA,NA,424780,519330
5305,Integer Id Magna Company,Clear,NA,NA,422412,500276
5306,Dolor Corporation,Clear,NA,NA,454109,558627
5308,Amet Industries,Clear,NA,NA,424005,506801
5309,Ante Dictum Industries,DEP case,In Progress,Source Known or Identified-Potential GW Contamination,442576,519733
5310,Nullam Velit Dui Foundation,Clear,NA,NA,447231,538333
5311,Nec Urna Corp.,Clear,NA,NA,418381,506120
5312,Nulla Integer Limited,Clear,NA,NA,410358,547658
5313,Facilisis Magna Tellus Company,DEP case,In Progress,Known Source or Release with GW Contamination,487065,523624
5314,Nibh Vulputate Mauris LLC,Clear,NA,NA,424266,508907
5315,Risus Quis Ltd,Clear,NA,NA,430294,496088
5316,Quis Associates,Clear,NA,NA,424406,514903
5317,Tempor Erat Consulting,Clear,NA,NA,410708,539551
5318,Tincidunt Incorporated,Clear,NA,NA,414557,509114
5320,Quisque Fringilla Company,DEP case,In Progress,Known Source or Release with GW Contamination established 1/24/2006,423522,491972
